,0
632,W. Earl Brown
633,Micol Bartolucci
634,Frances Bay
635,Geraldine Keams
636,Pascal Greggory
637,Jonathan Zaccaï
638,Léo Legrand
639,Laura Moisson
640,Laura Martin
641,Alexandra Maria Lara
642,Pierre-Louis Bellet
643,Tania Garbarski
644,Michael Gwisdek
645,Samuel Schneider
646,Thomas Bading
647,Claudia Geisler-Bading
648,Robin Reichelt
649,John Venzke
650,Charleen Deetz
651,Meret Becker
652,Danielle Harris
653,Tony Todd
654,Kane Hodder
655,R. A. Mihailoff
656,Parry Shen
657,Alexis Kendra
658,A. J. Bowen
659,Tom Holland
660,Jackie Chan
661,Alina Foley
662,Will Shadley
663,Amber Valletta
664,George Lopez
665,Lucas Till
666,Magnús Scheving
667,Margherita Buy
668,Francesca Inaudi
669,Luciana Littizzetto
670,Fabio Volo
671,Marisa Berenson
672,Mohammad Bakri
673,Mehmet Günsür
674,Massimo De Francovich
675,Emma Suárez
676,Eduard Fernández
677,Geraldine Chaplin
678,Martina García
679,Fermí Reixach
680,Àlex Brendemühl
681,Àlex Batllori
682,Marcos Franz
683,Ola Simonsson
684,Sanna Persson
685,Johannes Björk
686,Marcus Haraldson Boij
687,Magnus Börjeson
688,Anders Vestergard
689,Fredrik Myhr
690,Paula McManus
691,Mark Wahlberg
692,Mark Ruffalo
693,Leighton Meester
694,James Franco
695,Olivia Munn
696,Emma Stone
697,Amanda Bynes
698,Penn Badgley
699,Stanley Tucci
700,Alyson Michalka
701,Dan Byrd
702,Patricia Clarkson
703,Rosamund Pike
704,Zoe Saldaña
705,Dylan McDermott
706,Lake Bell
707,Jamie Chung
708,Paz Vega
709,Nick Stahl
710,Shannen Doherty
711,Jemma Powell
712,Matthew Butler-Hart
713,Giles Alderson
714,Alix Wilton Regan
715,Zafreen
716,Catherine Kenyon
717,Katia Winter
718,Luke de Lacey
719,Bette Midler
720,James Marsden
721,Christina Applegate
722,Chris O'Donnell
723,Neil Patrick Harris
724,Katt Williams
725,Michael Clarke Duncan
726,Jamie Tisdale
727,Dustin Ingram
728,Jay Malack
729,Keith David
730,Brian Dennehy
731,Kevin Scollin
732,Benjamin Brennan
733,Lucas Grabeel
734,David Hasselhoff
735,Bree Turner
736,Patrick Gallagher
737,Kang Jung-hwa
738,Gary Hudson
739,Drew Scott
740,Terryn Westbrook
741,Rosa María Sardà
742,Sonsoles Benedicto
743,Pilar Bardem
744,Mariana Cordero
745,María Barranco
746,Teresa Manresa
747,Lluís Marco
748,Rachel Bilson
749,Tom Sturridge
750,Richard Jenkins
751,Scott Mechlowicz
752,Nikki Blonsky
753,Jaime King
754,Nelson Franklin
755,Julian McMahon
756,Alexa Davalos
757,Roxy Sternberg
758,Keisha Castle-Hughes
759,Kellan Lutz
760,Nathaniel Arcand
761,Shantel VanSanten
762,Lindsey Shaw
763,Gary Entin
764,Josslyn DeCrosta
765,Blake Baskin
766,Christina Corigliano
767,Shannon Freyer
768,Robert Adamson
769,Dan Aykroyd
770,Tom Cavanagh
771,Anna Faris
772,Justin Timberlake
773,Josh Robert Thompson
774,Andrew Daly
775,Nate Corddry
776,Danny Trejo
777,Cristobal Krusen
778,Gary Moore
779,Brandon Hardesty
780,Tom Ohmer
781,David Krusen
782,Kera O'Bryon
783,Elisabeth Omilami
784,Lance Gross
785,Carlos Mencia
786,Regina King
787,Anjelah Johnson
788,Joseph Mencia
789,Charlie Murphy
790,Peaches Christ
791,Natasha Lyonne
792,Cassandra Peterson
793,Noah Segan
794,Jack Donner
795,Thomas Dekker
796,Mink Stole
797,John Landis
798,Robert Forster
799,Joe Dante
800,Eddie Muller
801,Fred Olen Ray
802,Herschell Gordon Lewis
803,Larry Cohen
804,William Lustig
805,Mark Ivanir
806,Sylwia Drori
807,Gila Almagor
808,Roni Koren
809,Erez Sharvit
810,Ziv Laufer
811,Rozina Cambos
812,Noah Silver
813,Ciara Bravo
814,Leo Woodall
815,Harry Holland
816,Bill Skarsgård
817,Michael Gandolfini
818,Jeffrey Wahlberg
819,Stefan Johnson
820,Lee-Hom Wang
821,Rongguang Yu
822,Wang Baoqiang
823,Lin Peng
824,Ken Lo
825,Dongmei Xu
826,Wu Yue
827,Shabana Azmi
828,Goldy Notay
829,Sanjeev Bhaskar
830,Sendhil Ramamurthy
831,Sally Hawkins
832,Zoë Wanamaker
833,Mark Addy
834,Jimi Mistry
835,Simon Pegg
836,Andy Serkis
837,Tim Curry
838,Tom Wilkinson
839,Isla Fisher
840,Jessica Hynes
841,Michael Smiley
842,Christopher Lee
843,Jack Black
844,Jason Segel
845,Billy Connolly
846,Catherine Tate
847,James Corden
848,Peter Dinklage
849,Matthew Macfadyen
850,Alan Tudyk
851,Keeley Hawes
852,Daisy Donovan
853,Ewen Bremner
854,Andy Nyman
855,Rupert Graves
856,Pierre Coffin
857,Miranda Cosgrove
858,Dana Gaier
859,Chris Renaud
860,Nebojša Glogovac
861,Anica Dobra
862,Nada Šargin
863,Branka Katić
864,Janoš Tot
865,Jasna Žalica
866,Nikola Rakočević
867,Nikola Đuričko
868,Joe Nussbaum
869,Gary Kurtz
870,Anthony Waye
871,Chris Gore
872,Matt Cohen
873,Dale Pollock
874,Rich Evans
875,Brian Comerford
876,Tarek Bakhari
877,Élodie Yung
878,Zinedine Soualem
879,Marco Zbinden
880,Pascal Holzer
881,Jean-Luc Bideau
882,Gilles Tschudi
883,Jean-Paul Favre
884,David Hyde Pierce
885,Clayne Crawford
886,Nathaniel Parker
887,Indira G. Wilson
888,Megahn Perry
889,Helen Reddy
890,Tyrees Allen
891,George Cheung
892,Ford Austin
893,Randal Malone
894,Ethan Phillips
895,Art LaFleur
896,Harland Williams
897,Chris Watson
898,Bonnie Aarons
899,Jed Rowen
900,John C. Reilly
901,Marisa Tomei
902,Katie Aselton
903,Matt Walsh
904,Kathy Wittes
905,Jamie Donnelly
906,Juri Ueno
907,Hiroshi Tamaki
908,Eita Nagayama
909,Keisuke Koide
910,Asami Mizukawa
911,Eiji Wentz
912,Yū Yamada
913,Takeshi Nadagi
914,Lily Javaherpour
915,Ravi Kapoor
916,Meera Simhan
917,Keya Shah
918,Bella Thorne
919,Alison Brie
920,Maulik Pancholy
921,James Morrison
922,Jack Roberts
923,Justin Monroe
924,Peter Bedgood
925,Marshall Bell
926,Aaron Moreland
927,Julia Self
928,Lucas Mackay Smith
929,Cassidy Seggern
930,Joseph Gordon-Levitt
931,Timothy Olyphant
932,Malin Åkerman
933,Marley Shelton
934,Emmanuelle Chriqui
935,Adrianne Palicki
936,Kathleen Quinlan
937,Riz Ahmed
938,Nigel Lindsay
939,Adeel Akhtar
940,Kayvan Novak
941,Arsher Ali
942,Julia Davis
943,Wasim Zakir
944,Tanna Frederick
945,Noah Wyle
946,Sabrina Jalgom
947,Simon Jalgom
948,Christopher Rydell
949,Peter Bogdanovich
950,Zack Norman
951,David Proval
952,Timothy Spall
953,Rhona Mitra
954,James Callis
955,Blake Harrison
956,Honor Blackman
957,Louise Brealey
958,Theo Stevenson
959,Hugh O'Conor
960,Asun Ortega
961,Jessica Elder
962,Maxie Santillan Jr.
963,Ayçıl Yeltan
964,Ivet Corvea
965,Perry D'Marco
966,Devanny Pinn
967,Bill Oberst Jr.
968,Jan Švankmajer
969,Zuzana Kronerová
970,Marcel Nemec
971,Klára Issová
972,Pavel Nový
973,Jana Oľhová
974,Václav Helšus
975,Johana Krtičková
976,Philip Rosenthal
977,Ray Romano
978,Alexandr Zhigalkin
979,Peter Boyle
980,Shaban Muslimov
981,Stanislav Duzhnikov
982,Anna Frolovtseva
983,Boris Kliúyev
984,Joaquin Phoenix
985,Casey Affleck
986,Larry McHale
987,Jack Nicholson
988,Bruce Willis
989,Danny DeVito
990,David Letterman
991,Carmen Machi
992,Roger Príncep
993,Christopher Downs
994,Fernando Cayo
995,Lluís Homar
996,Imanol Arias
997,Ana Cuesta
998,Kevin Kline
999,Celia Weston
1000,Katie Holmes
1001,John Pankow
1002,John Leighton
1003,Dan Hedaya
1004,Roberto Suárez
1005,Fernando Amaral
1006,César Troncoso
1007,Eugenia Guerty
1008,Diego De Paula
1009,Leo Maslíah
1010,Silvina Sabaté
1011,Arturo Goetz
1012,Pamela Anderson
1013,Peter Dante
1014,David Chokachi
1015,Julianna Guill
1016,Susan Ward
1017,Brock Kelly
1018,Drew Roy
1019,Max Van Ville
1020,Miranda Richardson
1021,Bob Hoskins
1022,Andrea Riseborough
1023,Philip Perry
1024,Jaime Winstone
1025,Daniel Mays
1026,Lea Thompson
1027,Andrew Lauer
1028,Wendie Malick
1029,Eric Lutes
1030,Amy Pietz
1031,Hunter Allan
1032,Gavin Gillette
1033,Ryil Adamson
1034,Adam Sandler
1035,Kevin James
1036,David Spade
1037,Chris Rock
1038,Salma Hayek
1039,Rob Schneider
1040,Dennis Dugan
1041,Maya Rudolph
1042,Paul Gross
1043,Sienna Guillory
1044,Dustin Milligan
1045,Callum Keith Rennie
1046,Tyler Mane
1047,Graham Greene
1048,Michael Eklund
1049,Jody Racicot
1050,Bette Davis
1051,Joan Crawford
1052,Victor Buono
1053,Lynn Redgrave
1054,Julie Allred
1055,B. D. Hyman
1056,William M. Aldrich
1057,Tim Roth
1058,Alexandre Rockwell
1059,Mark Boone Junior
1060,Rosie Perez
1061,Seymour Cassel
1062,Michael Lerner
1063,Camilla Belle
1064,Heather Graham
1065,Virginia Madsen
1066,John Stamos
1067,Anna Schafer
1068,Tracy Morgan
1069,Seann William Scott
1070,Adam Brody
1071,Rashida Jones
1072,Jason Lee
1073,Cory Fernandez
1074,Michelle Trachtenberg
1075,Adam McKay
1076,Eva Mendes
1077,Samuel L. Jackson
1078,Dwayne Johnson
1079,Stellan Skarsgård
1080,Kjersti Holmen
1081,Bjørn Floberg
1082,Jannike Kruse
1083,Julia Bache-Wiig
1084,Jorunn Kjellsby
1085,Gard B. Eidsvold
1086,Aksel Hennie
1087,Melanie Kannokada
1088,Andreas Wilson
1089,Shruti Tewari
1090,Veronica Valencia
1091,Jessica Kitchens
1092,Rajiv Nema
1093,Karl Antony
1094,Vinata Karra
1095,Enrique Arce
1096,Mónica Cruz
1097,Anabel Alonso
1098,Miguel Barberá
1099,Vanesa Romero
1100,Anabell Rivero
1101,José Albarrán
1102,Sergio Caballero
1103,Cosima Henman
1104,Granz Henman
1105,Henry Horn
1106,Kaan Aydogdu
1107,Yassine Gourar
1108,Dario Flick
1109,Marvin Schlatter
1110,Benno Fürmann
1111,Emilio Rivera
1112,Erlinda Orozco
1113,Valente Rodriguez
1114,Demetrius Navarro
1115,Tom Lister Jr.
1116,John Amos
1117,Tasha Tacosa
1118,Tyler Perry
1119,Janet Jackson
1120,Richard T. Jones
1121,Michael Jai White
1122,Lamman Rucker
1123,Jill Scott
1124,Sharon Leal
1125,Kiefer Sutherland
1126,Fergie
1127,Lee Pace
1128,Sam Elliott
1129,Shahid Kapoor
1130,Genelia D'Souza
1131,Mohnish Bahl
1132,Vikas Bhalla
1133,Vijay Raaz
1134,Satish Shah
1135,Shiven Jain
1136,Bikramjeet Kanwarpal
1137,Bill Cobbs
1138,Lee Meriwether
1139,Dave Moody
1140,Josh Moody
1141,Jeff Rose
1142,Blake Michael
1143,Ashton Harrell
1144,Celeste Kellogg
1145,Gillian Jacobs
1146,Melanie Lynskey
1147,Corey Stoll
1148,Lee Tergesen
1149,Dominic Fumusa
1150,Dagmara Domińczyk
1151,Jessica Hecht
1152,Paul Fitzgerald
1153,Akshay Kumar
1154,Aishwarya Rai
1155,Aditya Roy Kapur
1156,Rannvijay Singh
1157,Neha Dhupia
1158,Randhir Kapoor
1159,Rajpal Yadav
1160,Om Puri
1161,Danielle Darrieux
1162,Clémence Poésy
1163,Jean-Pierre Marielle
1164,Jérémie Renier
1165,Léa Drucker
1166,Aurore Clément
1167,Julie Gayet
1168,Julie Depardieu
1169,Eric Roberts
1170,John-Paul Howard
1171,Eliza Roberts
1172,Tim Peyton
1173,Joe Estevez
1174,Paula Devicq
1175,Priscilla Barnes
1176,Anna Paquin
1177,Elijah Wood
1178,Rebecca Lawrence Levy
1179,Candice Bergen
1180,Mark Gantt
1181,Gabriel Tigerman
1182,Vanessa Marcil
1183,Brianne Davis
1184,Autumn Reeser
1185,Brynn Thayer
1186,Michael Ironside
1187,Riccardo Scamarcio
1188,Alessandro Preziosi
1189,Nicole Grimaudo
1190,Ilaria Occhini
1191,Ennio Fantastichini
1192,Elena Sofia Ricci
1193,Bianca Nappi
1194,Lunetta Savino
1195,Samuel Whitten
1196,Marcus Patrick
1197,Mindy Cohn
1198,Max Emerson
1199,Randy Jones
1200,Michael Musto
1201,Jack Mackenroth
1202,Hedda Lettuce
1203,Queen Latifah
1204,Common
1205,Paula Patton
1206,Pam Grier
1207,James Pickens Jr.
1208,Phylicia Rashād
1209,Mehcad Brooks
1210,Michael Landes
1211,Ezra Miller
1212,Zoë Kravitz
1213,Stefanie Y. Hong
1214,Griffin Newman
1215,Campbell Scott
1216,Jesse McCartney
1217,Amy Sedaris
1218,Steven Kaplan
1219,Kristen Bell
1220,Betty White
1221,Jamie Lee Curtis
1222,Odette Annable
1223,Kristin Chenoweth
1224,Jimmy Wolk
1225,William Brent
1226,Emma Thompson
1227,Maggie Gyllenhaal
1228,Oscar Steer
1229,Lil Woods
1230,Asa Butterfield
1231,Maggie Smith
1232,Eros Vlahos
1233,Ewan McGregor
1234,Mira Furlan
1235,Boris Ler
1236,Miki Manojlović
1237,Jelena Stupljanin
1238,Mario Knezović
1239,Milan Štrljić
1240,Almir Mehic
1241,Svetislav Goncić
1242,Christian De Sica
1243,Nicola Nocella
1244,Luca Zingaretti
1245,Laura Morante
1246,Massimo Bonetti
1247,Marcello Maietta
1248,Sydne Rome
1249,Pino Quartullo
1250,Eugenio Derbez
1251,Alejandra Barros
1252,Juan Ríos Cantú
1253,Monica Dionne
1254,Alberto Estrella
1255,Aarón Hernán
1256,Ricardo Kleinbaum
1257,Paul Giamatti
1258,Richard J. Lewis
1259,Minnie Driver
1260,Scott Speedman
1261,Jake Hoffman
1262,Gerald McCullouch
1263,Gregory Gunter
1264,Joe Conti
1265,Stephen Guarino
1266,James Martinez
1267,Brian Keane
1268,Alex Di Dio
1269,Jia Hongsheng
1270,Zhang Yang
1271,Tong Wang
