,nombre,fecha_nacimiento,pais_nacimiento,activo desde,premios
42,Jessica Szohr,31 de marzo de 1985 ,Estados Unidos,1982,"['Jessica Szohr en los iHeartRadio Music Awards 2019 en Los Ángeles, California.']"
43,Christopher Lloyd,22 de octubre de 1938 ,Estados Unidos,1961,"['Mejor actor de reparto en una serie cómica 1982 Taxi 1983 Taxi Mejor actor principal en una serie dramática 1992 Road to Avonlea', 'Premio Independent Spirit al mejor actor de reparto 1993 Twenty Bucks', 'Independent Spirit Award al mejor actor de reparto (1994)']"
44,Jerry O'Connell,17 de febrero de 1974 ,Estados Unidos,1983,"['Mejor actor de reparto en una serie cómica 1982 Taxi 1983 Taxi Mejor actor principal en una serie dramática 1992 Road to Avonlea', 'Premio Independent Spirit al mejor actor de reparto 1993 Twenty Bucks', 'Independent Spirit Award al mejor actor de reparto (1994)']"
45,Richard Dreyfuss,29 de octubre de 1947 ,Estados Unidos,1964,"['Mejor actor 1977 • The Goodbye Girl', 'Mejor actor - Comedia o musical 1978 • The Goodbye Girl', 'Mejor actor 1978 • The Goodbye Girl']"
46,Eli Roth,18 de abril de 1972 ,Estados Unidos,1996,['Mejor reparto 2009 Inglourious Basterds']
47,Ving Rhames,12 de mayo de 1959 ,Estados Unidos,1996,['Globo de Oro al mejor actor de miniserie o telefilme 1998 Don King: Only in America']
48,Judy Greer,20 de julio de 1975 ,Estados Unidos,1996,['Globo de Oro al mejor actor de miniserie o telefilme 1998 Don King: Only in America']
49,Chloë Sevigny,18 de noviembre de 1974 ,​,1992,"['Mejor actriz de reparto en una serie, miniserie o telefilme 2010 Big Love', ""Premio Independent Spirit a la mejor actriz de reparto 1999 Boys don't cry"", 'National Society of Film Critics Award for Best Supporting Actress (1999) Independent Spirit Award a la mejor actriz de reparto (2000)']"
50,Jean Smart,13 de septiembre de 1951 ,Estados Unidos,1972,"['Jean Smart en la fiesta de HBO post-Emmy, en el Pacific Design Center, en septiembre de 2008.', 'Mejor actriz en serie de comedia 2021 Hacks 2022 Hacks', 'Mejor actriz en serie de comedia 2022 Hacks']"
51,Malcolm McDowell,13 de junio de 1943 ,Reino Unido,1957,['Estrella del Paseo de la Fama de Hollywood Premio Saturn Gran Premio Honorífico (2009)']
52,Colin Hanks,24 de noviembre de 1977 ,Estados Unidos,1996,['Theatre World Award (2009)']
53,Cybill Shepherd,18 de febrero de 1950 ,Estados Unidos,1971,['Mejor actriz de serie de TV - Comedia o musical » 1986 Moonlighting 1987 Moonlighting 1996 Cybill']
54,Anna Karina,14 de diciembre de 2019 ,Francia,1971,"['Oso de Plata a la mejor interpretación femenina (1961) Comendador de las Artes y las Letras (1996) Premio Honorífico Bodil (2016) Caballero de la Orden Nacional de la Legión de Honor (2017)', 'Oso de Plata a la mejor interpretación femenina (1961) Comendador de las Artes y las Letras (1996) Premio Honorífico Bodil (2016) Caballero de la Orden Nacional de la Legión de Honor (2017)']"
55,Jean-Paul Belmondo,14 de diciembre de 2019 ,2017.,1971,"['Oso de Plata a la mejor interpretación femenina (1961) Comendador de las Artes y las Letras (1996) Premio Honorífico Bodil (2016) Caballero de la Orden Nacional de la Legión de Honor (2017)', 'Oso de Plata a la mejor interpretación femenina (1961) Comendador de las Artes y las Letras (1996) Premio Honorífico Bodil (2016) Caballero de la Orden Nacional de la Legión de Honor (2017)']"
56,Jean-Claude Brialy,30 de mayo de 2007 ,Francia,1955,['Premio Jean-Le-Duc Caballero de la Orden Nacional de la Legión de Honor (1986) César al mejor actor secundario (1988) Oficial de la Orden Nacional del Mérito (1990) Oficial de la Orden Nacional de la Legión de Honor (1994) Comandante de la Orden Nacional del Mérito (1999) Comandante de la Orden Nacional de la Legión de Honor (2003)']
57,Joey King,30 de mayo de 2007 ,2020.,1955,['Premio Jean-Le-Duc Caballero de la Orden Nacional de la Legión de Honor (1986) César al mejor actor secundario (1988) Oficial de la Orden Nacional del Mérito (1990) Oficial de la Orden Nacional de la Legión de Honor (1994) Comandante de la Orden Nacional del Mérito (1999) Comandante de la Orden Nacional de la Legión de Honor (2003)']
58,Selena Gomez,22 de julio de 1992 ,Estados Unidos,1955,['Gomez en los Premios Globo de Oro de 2024 .']
59,Ginnifer Goodwin,22 de mayo de 1978 ,Estados Unidos,2001,['Gomez en los Premios Globo de Oro de 2024 .']
60,John Corbett,9 de mayo de 1961 ,Estados Unidos,1987,['Gomez en los Premios Globo de Oro de 2024 .']
