,0
1032,No tiene datos
1033,No tiene datos
1034,No tiene datos
1035,49
1036,No tiene datos
1037,No tiene datos
1038,82
1039,No tiene datos
1040,54
1041,No tiene datos
1042,No tiene datos
1043,No tiene datos
1044,No tiene datos
1045,No tiene datos
1046,No tiene datos
1047,No tiene datos
1048,No tiene datos
1049,No tiene datos
1050,No tiene datos
1051,No tiene datos
1052,No tiene datos
1053,No tiene datos
1054,No tiene datos
1055,No tiene datos
1056,No tiene datos
1057,No tiene datos
1058,No tiene datos
1059,No tiene datos
1060,No tiene datos
1061,No tiene datos
1062,No tiene datos
1063,No tiene datos
1064,No tiene datos
1065,No tiene datos
1066,No tiene datos
1067,No tiene datos
1068,No tiene datos
1069,No tiene datos
1070,No tiene datos
1071,No tiene datos
1072,71
1073,No tiene datos
1074,No tiene datos
1075,No tiene datos
1076,No tiene datos
1077,No tiene datos
1078,No tiene datos
1079,14
1080,No tiene datos
1081,No tiene datos
1082,No tiene datos
1083,No tiene datos
1084,No tiene datos
1085,No tiene datos
1086,No tiene datos
1087,No tiene datos
1088,No tiene datos
1089,No tiene datos
1090,No tiene datos
1091,No tiene datos
1092,No tiene datos
1093,No tiene datos
1094,No tiene datos
1095,No tiene datos
1096,No tiene datos
1097,No tiene datos
1098,No tiene datos
1099,29
1100,No tiene datos
1101,No tiene datos
1102,No tiene datos
1103,No tiene datos
1104,No tiene datos
1105,No tiene datos
1106,No tiene datos
1107,No tiene datos
1108,No tiene datos
1109,No tiene datos
1110,No tiene datos
1111,80
1112,No tiene datos
1113,No tiene datos
1114,No tiene datos
1115,No tiene datos
1116,No tiene datos
1117,No tiene datos
1118,No tiene datos
1119,No tiene datos
1120,No tiene datos
1121,No tiene datos
1122,No tiene datos
1123,No tiene datos
1124,No tiene datos
1125,No tiene datos
1126,No tiene datos
1127,No tiene datos
1128,No tiene datos
1129,No tiene datos
1130,No tiene datos
1131,No tiene datos
1132,No tiene datos
1133,No tiene datos
1134,82
1135,No tiene datos
1136,No tiene datos
1137,No tiene datos
1138,No tiene datos
1139,No tiene datos
1140,No tiene datos
1141,No tiene datos
1142,62
1143,No tiene datos
1144,No tiene datos
1145,No tiene datos
1146,No tiene datos
1147,No tiene datos
1148,No tiene datos
1149,84
1150,No tiene datos
1151,68
1152,No tiene datos
1153,No tiene datos
1154,No tiene datos
1155,No tiene datos
1156,No tiene datos
1157,No tiene datos
1158,No tiene datos
1159,No tiene datos
1160,No tiene datos
1161,No tiene datos
1162,No tiene datos
1163,No tiene datos
1164,No tiene datos
1165,No tiene datos
1166,No tiene datos
1167,No tiene datos
1168,No tiene datos
1169,No tiene datos
1170,No tiene datos
1171,No tiene datos
1172,13
1173,No tiene datos
1174,No tiene datos
1175,No tiene datos
1176,19
1177,No tiene datos
1178,No tiene datos
1179,No tiene datos
1180,No tiene datos
1181,No tiene datos
1182,No tiene datos
1183,No tiene datos
1184,No tiene datos
1185,No tiene datos
1186,No tiene datos
1187,21
1188,No tiene datos
1189,No tiene datos
1190,No tiene datos
1191,No tiene datos
1192,No tiene datos
1193,No tiene datos
1194,No tiene datos
1195,No tiene datos
1196,No tiene datos
1197,No tiene datos
1198,No tiene datos
1199,No tiene datos
1200,No tiene datos
1201,No tiene datos
1202,No tiene datos
1203,No tiene datos
1204,29
1205,No tiene datos
1206,No tiene datos
1207,No tiene datos
1208,No tiene datos
1209,No tiene datos
1210,No tiene datos
1211,No tiene datos
1212,No tiene datos
1213,No tiene datos
1214,No tiene datos
1215,No tiene datos
1216,No tiene datos
1217,No tiene datos
1218,No tiene datos
1219,No tiene datos
1220,85
1221,No tiene datos
1222,No tiene datos
1223,67
1224,No tiene datos
1225,No tiene datos
1226,No tiene datos
1227,92
1228,No tiene datos
1229,96
1230,No tiene datos
1231,No tiene datos
1232,No tiene datos
1233,No tiene datos
1234,No tiene datos
1235,No tiene datos
1236,No tiene datos
1237,No tiene datos
1238,No tiene datos
1239,No tiene datos
1240,No tiene datos
1241,No tiene datos
1242,No tiene datos
1243,100
1244,No tiene datos
1245,No tiene datos
1246,16
1247,No tiene datos
1248,No tiene datos
1249,No tiene datos
1250,No tiene datos
1251,No tiene datos
1252,No tiene datos
1253,No tiene datos
1254,No tiene datos
1255,No tiene datos
1256,No tiene datos
1257,No tiene datos
1258,No tiene datos
1259,No tiene datos
1260,No tiene datos
1261,No tiene datos
1262,No tiene datos
1263,No tiene datos
1264,No tiene datos
1265,58
1266,No tiene datos
1267,No tiene datos
1268,No tiene datos
1269,No tiene datos
1270,No tiene datos
1271,No tiene datos
1272,No tiene datos
1273,No tiene datos
1274,No tiene datos
1275,No tiene datos
1276,No tiene datos
1277,No tiene datos
1278,71
1279,No tiene datos
1280,No tiene datos
1281,No tiene datos
1282,No tiene datos
1283,No tiene datos
1284,No tiene datos
1285,No tiene datos
1286,No tiene datos
1287,70
1288,No tiene datos
1289,31
1290,No tiene datos
1291,No tiene datos
1292,98
1293,No tiene datos
1294,100
1295,No tiene datos
1296,83
1297,No tiene datos
1298,No tiene datos
1299,No tiene datos
1300,No tiene datos
1301,No tiene datos
