,0,1,2,3,4,5
41,6.3,Mike Mitchell,Josh Klausner,Rumpelstiltskin engaña a un Shrek agobiado por su crisis de mediana edad para que se borre a si mismo de la existencia y se lance en una oscura línea temporal alternativa donde Rumpel gobierna supremamente.,93,"Shrek, felices para siempre"
42,8.1,Dean DeBlois,William Davies,"Un desventurado joven vikingo, que aspira a cazar dragones, se convierte en el improbable amigo de un joven dragón, y aprende que puede haber más en las criaturas de lo que suponía.",98,Cómo entrenar a tu dragón
43,6.9,Griff Furst,Alex Yves,A comedy about a young man from Switzerland who travels to Los Angeles to escape his dead-end life and to reconnect with a female pen pal with whom he has lost touch. Everything falls apart when the pen pal turns out to be a complete fraud and he is reunited with an old friend (a real trouble magnet) who keeps pulling him into the most awkward situations. The story ta... Leer todo,95,Movin' In
44,5.3,Edward McHenry,"Edward Mc, Henry",A satirical alternative history of World War II where the Nazis seize London and England must band together to prevent a full-on invasion.,91,Jackboots on Whitehall
45,6.7,Antoinette Beumer,"Marnie Blok, Karin van Holst Pellekaan, Heleen van Royen","After giving birth to her first child, a happily-married woman sees her picture-perfect life spiral out of control.",100,De gelukkige huisvrouw
46,6.7,Robert Rothbard,Tony Devon,A sickly Mob Don's obsession that a pizza parlor owner is his missing long lost son.,99,Pizza with Bullets
47,3.5,Chris Levitus,Kyle Kramer,Tres amigos de toda la vida que viven en un ático se encuentran en desacuerdo cuando uno de ellos intenta mudarse con su novia y la hermana pequeña de otro hace una visita sorpresa.,89,The Penthouse
48,6.8,Scott Buchanan,"Dale Buchanan, Scott Buchanan","As Los Angeles grew to a population of over 5 million, crime was getting out of control. Budget cuts, low recruitment, and a rash of abuse lawsuits, left the LAPD unable to cope with the rising crime rate. In 2006 the city council passed proposition PSO357 authorizing PSO's (Private Security Officers) to handle all misdemeanor, infraction, and truancy cases. These are... Leer todo",84,Private Security Officer: Los Angeles
49,4.9,Guy J. Louthan,"Guy J. Louthan, Neil Monaghan","Made In Romania"" is the comedic story of a young producer who risks everything to try and break into more artistic productions. A financier agrees to finance the project but only if the production is filmed entirely in Romania.",95,Made in Romania
50,8.0,Patrick Franklin,"Patrick Franklin, Robert J. Wagstaff","A fledgling filmmaker returns to his hometown to make a documentary about flowers and their significance at the major stages of human life. Obsessed with capturing reality, he is none too pleased when a sudden zombie uprising threatens his artistic vision. Unwilling to compromise, he resolves to shoot around the walking dead as if nothing unusual is actually happening... Leer todo",87,Pushin' Up Daisies
51,4.8,Alfonso Arau,"Giovanna Cucinotta, Francesco Costa, Maria Grazia Cucinotta","1905, the cinematograph has reached Southern Italy, and casts fear among the people to whom it seems a devilish trick. They call it ""o 'imbroglie din t'o lenzuolo"" - ""The Trick in the Sheet"", as white sheets were used for screening.",105,La trampa de la luz
52,4.5,Rob Schneider,Boon Collins,A man finally finds faith in himself after the rest of world puts its faith in him; the sole being on earth who can save mankind from its own destruction - The Chosen One.,2010,The Chosen One
53,5.5,Paul Weitz,Greg Glienna,"El patriarca familiar Jack Byrnes quiere nombrar un sucesor. ¿Tiene su yerno, el enfermero Greg Focker, lo que se necesita?",98,Ahora los padres son ellos
54,5.1,Erik White,Abdul Williams,Kevin Carson is a young man living in the projects who has to survive a three-day weekend after his opportunistic neighbors find out he's holding a winning lottery ticket worth $370 million.,99,Lottery ticket
55,4.7,Brooks Branch,Brooks Branch,"NYC, 1979: Gabriel and Annie's marriage is falling apart with only their daughter holding it together. Gabriel quits his architect job to become a playwright, writing about his life. Annie and Liz leave.",97,Múltiples sarcasmos
56,5.5,Jim Fitzpatrick,Jim Fitzpatrick,A group of kids take down a motorcycle gang.,83,Adventure Scouts
57,7.3,Tom McGrath,Alan Schoolcraft,"El supervillano Megamind finalmente derrota a su némesis: el superhéroe Metro Man. Pero sin un héroe, pierde todo propósito y debe dar un nuevo sentido a su vida.",95,Megamind
58,7.3,Donald Flaherty Fajardo,Donald Flaherty Fajardo,Four men discover the importance of friendship when one is faced with a life-altering decision.,91,The Steamroom
59,6.3,James Mangold,Patrick O'Neill,Una joven es confundida por una espía caída en desgracia que está intentando limpiar su nombre.,109,Noche y día
60,5.1,Kevin Munroe,Thomas Dean Donnelly,"Las aventuras del investigador privado sobrenatural, Dylan Dog, que busca a los monstruos del pantano de Luisiana con su característica camisa roja, chaqueta negra y vaqueros.",108,Dylan Dog: Los muertos de la noche
61,5.2,Kelly L. King,Nicole Abisinio,"A 20-something slacker girl meets a handsome rebel at her best friend's funeral. She partners up with him and through a series of cons, finds her path to independence and love.",93,Prime of Your Life
62,8.3,Todd Edwards,"Todd Edwards, Peter Bedgood","It's been a rough couple of years for Alan Mangold, a tightly-wound professor in his 30's who dreams of a better life beyond his shoebox apartment... if only he could complete his opus, ""Orphan Bastard."" When his Nana dies, Alan and his better-half Amanda must post an internet ad at the university to find a student who will share the costs of the emergency cross-count... Leer todo",110,Jeffie Was Here
63,No tiene datos,Juanjo Martínez,Juanjo Martínez,"In Buenos Aires, a beauty product turns people into zombies.",45,Piel de Lija
64,4.7,Kenny Ortega,"Conor Lastowka, Michael J. Nelson, Sean Thomason","When Zac Efron starts singing and high schools start dancing, there's only one sane way watch: with a hilarious audio commentary from the guys at RiffTrax.",No tiene datos,RiffTrax: High School Musical
65,5.5,Andy Tennant,Sarah Thorp,"Un cazador de recompensas descubre que su próximo objetivo es su mujer, una reportera que está investigando un caso de asesinato encubierto. Tras reencontrarse, se dan a la fuga para salvar sus vidas.",110,Exposados
66,5.0,Amit Gupta,Amit Gupta,"Tripp is an average frustrated chump, who comes up with a golden idea. He partners with Gary, a Wall Street wheeler and dealer, and brings his cousin, Rowan, on-board to help with his business. As Tripp and Rowan journey together for business, Tripp learns about Rowan's extraordinary skills- skills in attracting women. The duo realizes that business and relationships ... Leer todo",110,Let the Game Begin
67,4.7,John Wesley Norton,John Wesley Norton,"An adept spoof of cinema's behind-the-scenes experiences, Not Another B Movie combines frightening and disgusting zombies with frightening and disgusting hack directions to tell a hilarious story! With a cast that includes Ed Asner, Joe Estevez and David Faustino, it's an insightful romp through the horror film industry and the horrors of the film industry.",87,Not Another B Movie
68,7.1,Tarun Verma,Tarun Verma,Life is about figuring out who you are and making sense of the world around you. Life is about your friends helping you through the toughest obstacle of life love. Life is about realizing the beautiful world around you and having fun. and most of all...Its about acting way too sexy and way too weird because you can be!! Why? Because that's how it is nowadays... Aaj Ka... Leer todo,90,Aaj Kal
69,4.6,Sam Harper,Sam Harper,"In order to enjoy his retirement, a father takes drastic measures to get his twentysomething, slacker sons to move out and fend for themselves.",84,House Broken
70,7.2,Laís Bodanzky,"Luiz Bolognesi, Gilberto Dimenstein, Heloisa Prieto","Mano has to deal with adolescence dilemmas and his family destruction, after his father leaves their house.",100,Las mejores cosas del mundo
71,6.5,Greg Berlanti,Ian Deitchman,Dos adultos solteros se convierten en cuidadores de una niña huérfana cuando sus mejores amigos comunes mueren en un accidente.,115,Como la vida misma
72,6.6,Donovan Marsh,Donovan Marsh,"It's South Africa 1990. Two major events are about to happen: The release of Nelson Mandela and, more importantly, it's Spud Milton's first year at an elite boys only private boarding school.",103,Spud
73,5.6,Jackson Douglas,Jeff Lewis,"When a priest learns his brother is dying of cancer, he dips into the church funds to help pay for the expensive treatments. Turns out his brother is in perfect health, and has used the money to fund production of a porno film.",90,For Christ's Sake
74,5.9,John Birmingham,John Birmingham,"Paul Lewis is a high school senior in Zanzibar, VA with not a care in the world... or so it seems... until he finds out he is a half breed vampire. Together with his father and new girlfriend Laney, they must fight off evil vampires to save humankind in one intense night.",106,The Vampires of Zanzibar
75,6.2,Sergio Machado,"Jorge Amado, Sergio Machado",Friends of the recently deceased Quincas take their pal's body on one last tour of his favorite spots in Brazil's Bahia.,104,Quincas Berro d'Água
76,5.9,Fina Torres,"Jorge Camacho, Julio Carrillo, Arturo Infante","A young seamstress in Havana with a dream of becoming a fashion designer, has to choose between the two men she loves - a suave foreign photographer, on a mysterious errand, and her loyal but laid back Cuban boyfriend who will, some day, build her a home.",106,Habana Eva
77,5.3,Jim Issa,Anthony Stephenson,"Etta's hopeless husband Chester, wannabe entrepreneur and liquor store owner, blows every nickel he makes on hare-brained get-rich inventions. She must take matters into her own hands to fulfill her dream of sending their kids to college.",84,Good Intentions
78,6.4,Marcelo Laffitte,"José Carvalho, Marcelo Laffitte","In Copacabana, lesbian photographer Elvis is hired to deliver pizzas in the night shift on her motorcycle. Her first assignment is a delivery to the transvestite hairdresser Lady Madonna.",105,Elvis & Madona
79,5.0,Waleed Moursi,Sarah Louise Wilson,"Are you one of the millions still wondering why you life didn't turn out like a ""John Hughes"" Movie? ...Jelly is!",104,Jelly
80,4.6,Tamara Tunie,Joe Cilibrasi,Lindsay is abandoned by her therapist all August. All NYC therapists are on vacation. She complains on Craigslist - hundreds respond. Ten start a group (therapy session).,91,See You in September
