,0
758,No tiene datos
759,No tiene datos
760,No tiene datos
761,No tiene datos
762,No tiene datos
763,No tiene datos
764,No tiene datos
765,No tiene datos
766,No tiene datos
767,No tiene datos
768,No tiene datos
769,No tiene datos
770,No tiene datos
771,No tiene datos
772,No tiene datos
773,No tiene datos
774,39
775,No tiene datos
776,No tiene datos
777,No tiene datos
778,No tiene datos
779,No tiene datos
780,No tiene datos
781,No tiene datos
782,60
783,No tiene datos
784,17
785,No tiene datos
786,No tiene datos
787,No tiene datos
788,35
789,No tiene datos
790,No tiene datos
791,No tiene datos
792,No tiene datos
793,No tiene datos
794,No tiene datos
795,No tiene datos
796,No tiene datos
797,No tiene datos
798,No tiene datos
799,No tiene datos
800,No tiene datos
801,No tiene datos
802,No tiene datos
803,No tiene datos
804,No tiene datos
805,No tiene datos
806,No tiene datos
807,No tiene datos
808,No tiene datos
809,No tiene datos
810,No tiene datos
811,No tiene datos
812,No tiene datos
813,No tiene datos
814,No tiene datos
815,No tiene datos
816,No tiene datos
817,No tiene datos
818,No tiene datos
819,No tiene datos
820,No tiene datos
821,No tiene datos
822,No tiene datos
823,No tiene datos
824,No tiene datos
825,No tiene datos
826,No tiene datos
827,No tiene datos
828,No tiene datos
829,No tiene datos
830,No tiene datos
831,31
832,No tiene datos
833,27
834,No tiene datos
835,No tiene datos
836,No tiene datos
837,No tiene datos
838,40
839,No tiene datos
840,No tiene datos
841,No tiene datos
842,No tiene datos
843,No tiene datos
844,No tiene datos
845,No tiene datos
846,75
847,No tiene datos
848,No tiene datos
849,No tiene datos
850,No tiene datos
851,No tiene datos
852,No tiene datos
853,No tiene datos
854,No tiene datos
855,No tiene datos
856,No tiene datos
857,No tiene datos
858,No tiene datos
859,No tiene datos
860,No tiene datos
861,No tiene datos
862,No tiene datos
863,No tiene datos
864,No tiene datos
865,No tiene datos
866,No tiene datos
867,No tiene datos
868,No tiene datos
869,No tiene datos
870,No tiene datos
871,No tiene datos
872,No tiene datos
873,No tiene datos
874,No tiene datos
875,No tiene datos
876,No tiene datos
877,No tiene datos
878,44
879,No tiene datos
880,No tiene datos
881,No tiene datos
882,No tiene datos
883,No tiene datos
884,No tiene datos
885,No tiene datos
886,No tiene datos
887,No tiene datos
888,No tiene datos
889,71
890,No tiene datos
891,No tiene datos
892,No tiene datos
893,No tiene datos
894,No tiene datos
895,No tiene datos
896,No tiene datos
897,No tiene datos
898,No tiene datos
899,No tiene datos
900,No tiene datos
901,No tiene datos
902,No tiene datos
903,No tiene datos
904,No tiene datos
905,No tiene datos
906,No tiene datos
907,No tiene datos
908,No tiene datos
909,No tiene datos
910,No tiene datos
911,No tiene datos
912,No tiene datos
913,No tiene datos
914,No tiene datos
915,No tiene datos
916,No tiene datos
917,No tiene datos
918,No tiene datos
919,No tiene datos
920,No tiene datos
921,No tiene datos
922,No tiene datos
923,No tiene datos
924,No tiene datos
925,No tiene datos
926,No tiene datos
927,No tiene datos
928,No tiene datos
929,No tiene datos
930,No tiene datos
931,No tiene datos
932,No tiene datos
933,No tiene datos
934,No tiene datos
935,No tiene datos
936,No tiene datos
937,No tiene datos
938,No tiene datos
939,No tiene datos
940,No tiene datos
941,No tiene datos
942,No tiene datos
943,No tiene datos
944,No tiene datos
945,No tiene datos
946,No tiene datos
947,No tiene datos
948,No tiene datos
949,No tiene datos
950,No tiene datos
951,No tiene datos
952,No tiene datos
953,No tiene datos
954,No tiene datos
955,No tiene datos
956,No tiene datos
957,No tiene datos
958,No tiene datos
959,No tiene datos
960,No tiene datos
961,No tiene datos
962,No tiene datos
963,No tiene datos
964,No tiene datos
965,No tiene datos
966,No tiene datos
967,No tiene datos
968,No tiene datos
969,No tiene datos
970,No tiene datos
971,No tiene datos
972,No tiene datos
973,No tiene datos
974,No tiene datos
975,No tiene datos
976,No tiene datos
977,No tiene datos
978,89
979,57
980,No tiene datos
981,No tiene datos
982,50
983,No tiene datos
984,No tiene datos
985,No tiene datos
986,No tiene datos
987,No tiene datos
988,No tiene datos
989,30
990,No tiene datos
991,40
992,No tiene datos
993,No tiene datos
994,33
995,No tiene datos
996,No tiene datos
997,21
998,67
999,No tiene datos
1000,No tiene datos
