,0,1,2,3,4,5
64,3.1,Brian Yuzna,"Alberto Vázquez Figueroa, Miguel Tejada-Flores","Dante travels across a desolate, futuristic Spain in search of his girlfriend, Ula. He is pursued by a bloodthirsty, cybernetic Rottweiler.",95,Rottweiler
65,6.4,Aleksi Mäkelä,"Pekka Lehtosaari, Reijo Mäki","On the trail of a woman, Vares finds himself caught up with underworld characters who are on the trail of hidden millions.",95,Vares - yksityisetsivä
66,5.4,Jean-Paul Salomé,"Jean-Paul SaloméLaurent Vachaud, Maurice Leblanc","Mientras el intrépido ladrón Arsène Lupin saquea las casas de los ricos parisinos, la Policía, con un arma secreta en su arsenal, intenta descubrirlo.",125,Arsène Lupin
67,3.9,Hiroyuki Nasu,"Gô Nagai, Machiko Nasu","Based on Gô Nagai's manga, about mild-mannered teenager Akira Fudô, who merges with a demon to fight other demons.",116,Devilman
68,5.5,Dante Lam,"Kin Chung Chan, Hing-Ka Chan","(Cantonese with English subtitles) Hotshot police officers Aaron Kwok and Eason Chan are both full of talent and ego. So when their boss decides to put them both together on a ""special"" project, all they do is bicker. Before long, they're put to the test as a duo when a dangerous jewelry thief manages to disappear with plenty of loot. Will the two keep their egos in c... Leer todo",99,Chung on chi ma Gun
69,3.4,Ken Barbet,David Neilsen,"An ex-Navy SEAL faces his riskiest mission yet when he's forced to compete for his life in a survival game. The last man standing will take home a 10 million dollar prize, those who fail will die a lonely death in the jungle.",90,The Eliminator
70,7.9,Mani Ratnam,Mani Ratnam,Three men and their accidental meeting on Napier Bridge will change their lives forever.,160,Aayitha Ezhuthu
71,3.5,Frédéric Auburtin,"Frédéric Dard, Laurent Touil-Tartour","While a terrorist epidemic strikes the world leaders, the commissaire San-Antonio and his partner Lieutenant Bérurier must escort the French ambassador to a British hotel. But after a negligence of Bérurier (one more little sex affair), San-Antonio powerlessly witnesses the ambassador's abduction, organized by a gorgeous Italian girl. Back in Paris, San-Antonio is dis... Leer todo",95,San Antonio
72,6.2,Tim Hunter,Todd Slavkin,A sociopath on death row is given a chance to live if he agrees to take part in a chemical behavioral modification program.,104,Asesino
73,4.0,Gérard Pirès,"Alexandre Coquelle, Matthieu Le Naour",Two spies are undercover to track down a nuclear missile while distracting a vilain trying to get world's domination,90,Espías súper secretos
74,4.3,Bryan Goeres,"Diane Fine, Evan Spiliotopoulos","When a painting owned by one of her clients is stolen from a Barcelona museum, a New York-based artexpert is sent there to help investigate. After more paintings are stolen, she learns that she is being framed for the crimes. With the help of her estranged husband, a New York cop, they must not only solve the crimes but clear her name.",98,Golpe maestro
75,7.1,Andrea Costantini,Andrea Costantini,"Superintendent Chessari is sent to run a small police station on the outskirts of Rome - a temporary posting in a difficult area, with not much backing and very few staff. His deputy, Lorenzo Corsi, is a youngster just out of the Academy, full of enthusiasm and high principles which clash with the corrupt reality of the streets and the attitude of his colleagues. The ... Leer todo",No tiene datos,Dentro la città
76,7.3,Matthew Vaughn,J.J. Connolly,Un exitoso traficante de cocaína recibe dos tareas difíciles de su jefe en la víspera de lo que debería ser su jubilación anticipada.,105,Layer Cake: Crimen organizado
77,8.0,Quentin Tarantino,Quentin Tarantino,"La novia continúa su búsqueda de venganza contra su antiguo jefe y amante Bill, el solitario portero Budd y la traicionera Elle, tuerta.",137,Kill Bill: Volumen 2
78,4.7,Vikram Bhatt,"Robin Bhatt, Vikram Bhatt, Girish Dhamija","A protective father starts digging deeper into the past of his daughter's possessive, unpredictable and violent boyfriend.",152,Aetbaar
79,6.0,Takashi Miike,Shigenori Takechi,"An executed samurai takes an existential journey throughout time, space and eternity in search of bloody vengeance.",128,Izo
80,6.1,John Moore,Lukas Heller,Los supervivientes de un accidente aéreo en el desierto de Mongolia trabajan juntos para construir un nuevo avión.,113,El vuelo del Fénix
81,3.4,Pappan,Dennis Joseph,"Vajram is a 2004 Indian Malayalam Flim, directed by Pramod Pappan & produced by Haksar Syed.The flim star Mammootty, Kousalya & Vasundhara Das in lead roles.The music of the film was composed by Ouseppachan & S. P. Venkatesh.",122,Vajram
82,4.6,Alki David,Alki David,Se cuenta la épica lucha de la apneísta Danai Varveri por convertirse en campeona del mundo.,95,The Freediver
83,6.6,Elia Schneider,Henry Herrera,"""Punto y raya"" is the story of a young Colombian recruit who, while patrolling his country's border, is befriended by a Venezuelan adversary, and the tragic consequences of their relationship.",105,Punto y raya
84,5.8,Alain Berbérian,Christian Clavier,"Rémi François es un detective contratado para buscar a Ange Leoni, un corso que al parecer ha heredado una casa de 2 millones de euros.",92,El archivo corso
85,6.1,Puneet Sira,"Vekeana Dhillon, Puneet Sira",I is an Indian. He travels to London for a family wedding and finds his family live in fear of the terrorism by National Front Skinheads and finds he has to become involved which escalates the situation.,129,I - Proud to Be an Indian
86,7.4,Alejandro Lozano,Tony Dalton,Una comedia oscura y poco convencional sobre un grupo de adolescentes de la Ciudad de México envueltos en un secuestro que involucra a una leyenda de lucha libre retirada y un loro.,99,Matando Cabos
87,4.6,Jean van de Velde,Gerard Soeteman,"Floris van Rozemond Junior, son and heir of a long line of knights of that name, refuses to go in the military 'family business' and becomes an actor, a profession scorned by his homonymous father, the general of the under-age duke of Burgundy. The duke chose this year to pay for his people to have bread and butter, rather then canons for the army, but relies for Flor... Leer todo",100,Floris
88,7.3,Mani Ratnam,Anurag Kashyap,"Michael, Arjun and Lallan, three men from three different strata of society, cross paths one morning in Calcutta and change one another's lives forever.",161,Yuva
89,5.1,Ari Taub,"Nick Day, Caio Ribeiro",The story of ordinary men during WWII as seen from three different points of View.,112,Días de sangre y fuego
90,5.3,Conrad Glover,Conrad Glover,A young woman released from a drug rehab program commits a wrong act to further her dream only to find out it may cost her the lives of her friends and her own.,82,Bottom Out
91,7.5,Yimou Zhang,Feng Li,"Un romántico capitán de policía saca de la cárcel a una bella miembro de un grupo rebelde para ayudarla a reunirse con sus compañeros, pero las cosas no son lo que parecen.",119,La casa de las dagas voladoras
92,6.9,Benny Chan,Alan Yuen,"Un policía héroe lleva accidentalmente a su equipo a una trampa de la que él es el único superviviente. Ahogando su culpa en alcohol, le asignan un nuevo compañero más joven que resulta tener sus propios secretos.",123,New Police Story
93,3.1,Christopher Kulikowski,Christopher Kulikowski,Two time travelers with opposing views are sent back to the present aboard a research ship in the Antarctic to prevent a global biological disaster from occuring.,93,Commander
94,3.6,Richard Gabai,Michael Gannon,"Evan Hanson is the best motocross coach in the country. After leading his daughter Callie to the national championships, he decides to set his sights on a more personal challenge - saving a local dirt track from a motorcycle gang.",82,Motocross Kids
