,0
1439,No tiene datos
1440,No tiene datos
1441,42
1442,No tiene datos
1443,No tiene datos
1444,No tiene datos
1445,No tiene datos
1446,No tiene datos
1447,No tiene datos
1448,21
1449,No tiene datos
1450,No tiene datos
1451,70
1452,No tiene datos
1453,No tiene datos
1454,85
1455,No tiene datos
1456,No tiene datos
1457,No tiene datos
1458,No tiene datos
1459,No tiene datos
1460,No tiene datos
1461,60
1462,58
1463,No tiene datos
1464,71
1465,25
1466,81
1467,No tiene datos
1468,No tiene datos
1469,No tiene datos
1470,67
1471,No tiene datos
1472,No tiene datos
1473,No tiene datos
1474,No tiene datos
1475,No tiene datos
1476,8
1477,12
1478,23
1479,13
1480,61
1481,No tiene datos
1482,No tiene datos
1483,No tiene datos
1484,No tiene datos
1485,No tiene datos
1486,No tiene datos
1487,No tiene datos
1488,No tiene datos
1489,No tiene datos
1490,66
1491,No tiene datos
1492,47
1493,100
1494,No tiene datos
1495,No tiene datos
1496,No tiene datos
1497,67
1498,No tiene datos
1499,No tiene datos
1500,No tiene datos
1501,52
1502,No tiene datos
1503,81
1504,No tiene datos
1505,No tiene datos
1506,No tiene datos
1507,No tiene datos
1508,92
1509,26
1510,No tiene datos
1511,No tiene datos
1512,49
1513,50
1514,No tiene datos
1515,No tiene datos
1516,No tiene datos
1517,58
1518,No tiene datos
1519,No tiene datos
1520,35
1521,80
1522,No tiene datos
1523,No tiene datos
1524,No tiene datos
1525,No tiene datos
1526,No tiene datos
1527,No tiene datos
1528,No tiene datos
1529,No tiene datos
1530,No tiene datos
1531,No tiene datos
1532,89
1533,No tiene datos
1534,No tiene datos
1535,No tiene datos
1536,No tiene datos
1537,No tiene datos
1538,No tiene datos
1539,No tiene datos
1540,24
1541,No tiene datos
1542,No tiene datos
1543,42
1544,No tiene datos
1545,No tiene datos
1546,No tiene datos
1547,No tiene datos
1548,56
1549,No tiene datos
1550,No tiene datos
1551,No tiene datos
1552,No tiene datos
1553,75
1554,No tiene datos
1555,No tiene datos
1556,No tiene datos
1557,No tiene datos
1558,No tiene datos
1559,No tiene datos
1560,No tiene datos
1561,No tiene datos
1562,No tiene datos
1563,No tiene datos
1564,No tiene datos
1565,No tiene datos
1566,No tiene datos
1567,No tiene datos
1568,No tiene datos
1569,No tiene datos
1570,No tiene datos
1571,No tiene datos
1572,No tiene datos
1573,No tiene datos
1574,No tiene datos
1575,No tiene datos
1576,86
1577,No tiene datos
1578,No tiene datos
1579,No tiene datos
1580,No tiene datos
1581,No tiene datos
1582,No tiene datos
1583,29
1584,No tiene datos
1585,No tiene datos
1586,No tiene datos
1587,No tiene datos
1588,No tiene datos
1589,No tiene datos
1590,No tiene datos
1591,No tiene datos
1592,No tiene datos
1593,No tiene datos
1594,63
1595,27
1596,No tiene datos
1597,No tiene datos
1598,46
1599,No tiene datos
1600,53
1601,82
1602,No tiene datos
1603,No tiene datos
1604,No tiene datos
1605,No tiene datos
1606,No tiene datos
1607,No tiene datos
1608,No tiene datos
1609,No tiene datos
1610,20
1611,No tiene datos
1612,27
1613,No tiene datos
1614,60
1615,No tiene datos
1616,No tiene datos
1617,No tiene datos
1618,No tiene datos
1619,No tiene datos
1620,No tiene datos
1621,No tiene datos
1622,20
1623,No tiene datos
1624,No tiene datos
1625,No tiene datos
1626,No tiene datos
1627,No tiene datos
1628,93
1629,No tiene datos
1630,No tiene datos
1631,No tiene datos
1632,94
1633,57
1634,No tiene datos
1635,No tiene datos
1636,No tiene datos
1637,No tiene datos
1638,No tiene datos
1639,No tiene datos
1640,No tiene datos
1641,97
1642,No tiene datos
1643,No tiene datos
1644,76
1645,No tiene datos
1646,No tiene datos
1647,31
1648,67
1649,39
1650,No tiene datos
1651,35
1652,No tiene datos
1653,No tiene datos
1654,No tiene datos
1655,No tiene datos
1656,No tiene datos
1657,No tiene datos
1658,No tiene datos
1659,No tiene datos
1660,No tiene datos
1661,No tiene datos
1662,No tiene datos
1663,No tiene datos
1664,No tiene datos
1665,No tiene datos
1666,No tiene datos
1667,No tiene datos
1668,No tiene datos
1669,No tiene datos
1670,No tiene datos
1671,No tiene datos
1672,No tiene datos
1673,No tiene datos
1674,No tiene datos
1675,No tiene datos
1676,No tiene datos
1677,No tiene datos
1678,No tiene datos
1679,No tiene datos
1680,No tiene datos
1681,No tiene datos
1682,No tiene datos
1683,No tiene datos
1684,No tiene datos
1685,No tiene datos
1686,No tiene datos
1687,No tiene datos
1688,No tiene datos
1689,No tiene datos
1690,No tiene datos
1691,No tiene datos
1692,No tiene datos
1693,No tiene datos
1694,No tiene datos
1695,No tiene datos
1696,No tiene datos
1697,No tiene datos
1698,16
1699,No tiene datos
1700,No tiene datos
1701,No tiene datos
1702,No tiene datos
1703,No tiene datos
1704,No tiene datos
1705,No tiene datos
1706,No tiene datos
1707,No tiene datos
1708,No tiene datos
1709,48
1710,No tiene datos
1711,No tiene datos
1712,No tiene datos
1713,No tiene datos
1714,No tiene datos
1715,No tiene datos
