,0,1,2,3,4,5,6,7
92,3.1,No tiene datos,Vikram Bhatt,"Robin Bhatt, Girish Dhamija, Sanjeev Duggal","The daughter of a rich criminal industrial tycoon falls in love with a college boy. The tycoon, what a surprise, objects...",180,Aap Mujhe Achche Lagne Lage,tt0247911
93,7.0,38,Miles Swain,Miles Swain,"Romance, politics, sex and humor all collide during two men's 11-year journey of passion, self-discovery and adventure.",95,The Trip,tt0250067
94,6.5,No tiene datos,Darrell Warren,Darrell Warren,No tiene datos,2002,Even Steven,tt0250365
95,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt0248216
96,6.1,No tiene datos,Timothy J. Nelson,Timothy J. Nelson,"United States, 1964. Bobbie Dean is a boyish girl who has an extraordinary talent for basketball. Because she's a girl, Bobbie is limited in her playing. She can only compete in girl's basketball, that has restricted rules and is hardly taken serious by anyone. When Bobbie is helping her father making a delivery, some boys are playing ball. They assume she is a boy an... Leer todo",94,Jumping for Joy,tt0251163
97,5.6,No tiene datos,Kai Lehtinen,"Kai Lehtinen, Petter Sairanen","A young border guard falls in love with a beautiful but mysterious Lappish woman, unaware of her dark past.",102,Umur,tt0249215
98,No tiene datos,No tiene datos,Steve Kanaly,Kevin BodeKevin A. Bode,No tiene datos,No tiene datos,Leaving the Land,tt0251795
99,6.7,No tiene datos,Adrian Lyne,Claude Chabrol,El matrimonio de una pareja en las afueras de Nueva York se tambalea cuando ella tiene una aventura.,125,Infiel,tt0250797
100,6.8,No tiene datos,Jonee Ansa,Jonee AnsaTina McElroy Ansa,No tiene datos,No tiene datos,Baby of the Family,tt0252918
101,5.2,14,Charles Jarrott,Louis Eppolito,"The story of three friends who grew up in the same tough neighborhood and chose three very different paths. Joey became a cop, Frank became a priest, and Bobby went into the family business. No matter what happened, their loyalty was always to each other... until their friendship was given the ultimate test. Philly Russo, a father figure to the three friends, turns ou... Leer todo",96,Turn of Faith,tt0250790
102,7.1,26,Nick Cassavetes,James Kearns,John Quincy Archibald toma rehenes en la sala de urgencias de un hospital cuando su seguro no cubre el trasplante de corazón de su hijo.,116,John Q,tt0251160
103,6.3,No tiene datos,Gregory Hoblit,John Katzenbach,Un estudiante de derecho convertido en teniente durante la Segunda Guerra Mundial es capturado y se le pide que defienda a un prisionero de guerra negro acusado falsamente de asesinato.,125,La guerra de Hart,tt0251114
104,5.4,No tiene datos,Wayne Wang,John Hughes,"Un candidato a senador se enamora de una empleada de hotel, creyendo que es de la alta sociedad, cuando la ve probarse un vestido de una mujer rica.",105,Sucedió en Manhattan,tt0252076
105,5.2,No tiene datos,Mikon A. Haaksman,Mikon A. Haaksman,No tiene datos,No tiene datos,97 Brooks,tt0250181
106,7.4,No tiene datos,Phillip Noyce,Doris Pilkington,"En 1931, tres niñas, mitad blancas y mitad aborígenes, escapan después de ser corridas de sus casas para recibir formación como empleadas domésticas.",94,Generación robada,tt0252444
107,5.4,No tiene datos,Kaige Chen,Sean French,Una mujer enfrenta consecuencias mortales por abandonar su relación amorosa con su novio para perseguir emocionantes escenarios sexuales con un misterioso alpinista famoso.,104,Suavemente me mata,tt0250468
