,0
575,No tiene datos
576,No tiene datos
577,No tiene datos
578,No tiene datos
579,No tiene datos
580,No tiene datos
581,0
582,No tiene datos
583,No tiene datos
584,No tiene datos
585,No tiene datos
586,No tiene datos
587,No tiene datos
588,20
589,No tiene datos
590,No tiene datos
591,No tiene datos
592,No tiene datos
593,No tiene datos
594,No tiene datos
595,No tiene datos
596,No tiene datos
597,59
598,No tiene datos
599,No tiene datos
600,No tiene datos
601,No tiene datos
602,No tiene datos
603,No tiene datos
604,87
605,23
606,68
607,54
608,43
609,No tiene datos
610,No tiene datos
611,No tiene datos
612,No tiene datos
613,No tiene datos
614,21
615,No tiene datos
616,No tiene datos
617,No tiene datos
618,No tiene datos
619,No tiene datos
620,No tiene datos
621,100
622,No tiene datos
623,No tiene datos
624,54
625,No tiene datos
626,No tiene datos
627,74
628,67
629,No tiene datos
630,No tiene datos
631,29
632,No tiene datos
633,No tiene datos
634,No tiene datos
635,No tiene datos
636,No tiene datos
637,No tiene datos
638,No tiene datos
639,No tiene datos
640,No tiene datos
641,No tiene datos
642,No tiene datos
643,44
644,No tiene datos
645,No tiene datos
646,No tiene datos
647,44
648,No tiene datos
649,No tiene datos
650,No tiene datos
651,No tiene datos
652,No tiene datos
653,No tiene datos
654,No tiene datos
655,No tiene datos
656,No tiene datos
657,No tiene datos
658,No tiene datos
659,42
660,No tiene datos
661,No tiene datos
662,No tiene datos
663,No tiene datos
664,73
665,No tiene datos
666,No tiene datos
667,No tiene datos
668,No tiene datos
669,No tiene datos
670,No tiene datos
671,No tiene datos
672,No tiene datos
673,No tiene datos
674,No tiene datos
675,No tiene datos
676,No tiene datos
677,No tiene datos
678,No tiene datos
679,20
680,No tiene datos
681,No tiene datos
682,No tiene datos
683,No tiene datos
684,No tiene datos
685,No tiene datos
686,14
687,No tiene datos
688,No tiene datos
689,No tiene datos
690,No tiene datos
691,No tiene datos
692,No tiene datos
693,No tiene datos
694,No tiene datos
695,No tiene datos
696,69
697,No tiene datos
698,No tiene datos
699,No tiene datos
700,No tiene datos
701,No tiene datos
702,No tiene datos
703,No tiene datos
704,No tiene datos
705,No tiene datos
706,No tiene datos
707,95
708,74
709,No tiene datos
710,No tiene datos
711,No tiene datos
712,No tiene datos
713,No tiene datos
714,No tiene datos
715,50
716,76
717,No tiene datos
718,No tiene datos
719,No tiene datos
720,No tiene datos
721,No tiene datos
722,No tiene datos
723,78
724,No tiene datos
725,No tiene datos
726,No tiene datos
727,No tiene datos
728,No tiene datos
729,91
730,No tiene datos
731,No tiene datos
732,No tiene datos
733,No tiene datos
734,No tiene datos
735,No tiene datos
736,No tiene datos
737,No tiene datos
738,No tiene datos
739,No tiene datos
740,No tiene datos
741,No tiene datos
742,No tiene datos
743,No tiene datos
744,No tiene datos
