,0
561,No tiene datos
562,No tiene datos
563,No tiene datos
564,No tiene datos
565,No tiene datos
566,No tiene datos
567,No tiene datos
568,No tiene datos
569,100
570,39
571,No tiene datos
572,No tiene datos
573,No tiene datos
574,No tiene datos
575,35
576,35
577,No tiene datos
578,No tiene datos
579,No tiene datos
580,75
581,No tiene datos
582,No tiene datos
583,No tiene datos
584,No tiene datos
585,No tiene datos
586,No tiene datos
587,No tiene datos
588,No tiene datos
589,78
590,No tiene datos
591,71
592,33
593,No tiene datos
594,No tiene datos
595,No tiene datos
596,62
597,No tiene datos
598,No tiene datos
599,40
600,No tiene datos
601,No tiene datos
602,No tiene datos
603,No tiene datos
604,No tiene datos
605,No tiene datos
606,No tiene datos
607,68
608,No tiene datos
609,No tiene datos
610,No tiene datos
611,No tiene datos
612,No tiene datos
613,No tiene datos
614,No tiene datos
615,No tiene datos
616,No tiene datos
617,No tiene datos
618,No tiene datos
619,No tiene datos
620,No tiene datos
621,No tiene datos
622,No tiene datos
623,33
624,No tiene datos
625,No tiene datos
626,No tiene datos
627,No tiene datos
628,No tiene datos
629,No tiene datos
630,23
631,No tiene datos
632,No tiene datos
633,No tiene datos
634,No tiene datos
635,No tiene datos
636,No tiene datos
637,No tiene datos
638,60
639,No tiene datos
640,No tiene datos
641,No tiene datos
642,No tiene datos
643,No tiene datos
644,No tiene datos
645,No tiene datos
646,No tiene datos
647,94
648,No tiene datos
649,No tiene datos
650,No tiene datos
651,No tiene datos
652,No tiene datos
653,No tiene datos
654,68
655,No tiene datos
656,No tiene datos
657,No tiene datos
658,No tiene datos
659,No tiene datos
660,No tiene datos
661,No tiene datos
662,No tiene datos
663,No tiene datos
664,No tiene datos
665,No tiene datos
666,No tiene datos
667,No tiene datos
668,No tiene datos
669,No tiene datos
670,No tiene datos
671,36
672,No tiene datos
673,No tiene datos
674,No tiene datos
675,No tiene datos
676,57
677,No tiene datos
678,No tiene datos
679,No tiene datos
680,No tiene datos
681,No tiene datos
682,No tiene datos
683,No tiene datos
684,No tiene datos
685,No tiene datos
686,No tiene datos
687,78
688,No tiene datos
689,No tiene datos
690,No tiene datos
691,64
692,No tiene datos
693,No tiene datos
694,No tiene datos
695,No tiene datos
696,No tiene datos
697,No tiene datos
698,No tiene datos
699,No tiene datos
700,No tiene datos
701,No tiene datos
702,No tiene datos
703,No tiene datos
704,No tiene datos
705,No tiene datos
706,12
707,No tiene datos
708,No tiene datos
709,44
710,31
711,No tiene datos
712,50
713,No tiene datos
714,No tiene datos
715,No tiene datos
716,41
717,57
718,64
719,No tiene datos
720,40
721,56
722,No tiene datos
723,No tiene datos
724,No tiene datos
725,42
726,No tiene datos
727,No tiene datos
728,No tiene datos
729,No tiene datos
730,50
731,45
732,No tiene datos
733,13
734,No tiene datos
735,No tiene datos
736,79
737,No tiene datos
738,No tiene datos
739,No tiene datos
740,No tiene datos
741,No tiene datos
742,75
743,0
744,No tiene datos
745,No tiene datos
746,No tiene datos
747,No tiene datos
748,No tiene datos
749,No tiene datos
